released_by_2026_06_29,delivery,set_code,set_name,release_date,set_type,booster_key,family,mtgjson_product_name,source_set_codes,languages,weighted_variants,total_weight,slot_recipes,sheet_names,mtgjson_url
yes,paper,LEA,Limited Edition Alpha,1993-08-05,core,default,draft/default,,LEA,en,1,1,w1: common x11 + rare x1 + uncommon x3,common;rare;uncommon,https://mtgjson.com/api/v5/LEA.json
yes,paper,LEA,Limited Edition Alpha,1993-08-05,core,starter,starter/tournament,Limited Edition Alpha Starter Deck,LEA,en,1,1,w1: commonWithDuplicates x45 + rare x2 + uncommonWithDuplicates x13,commonWithDuplicates;rare;uncommonWithDuplicates,https://mtgjson.com/api/v5/LEA.json
yes,paper,LEB,Limited Edition Beta,1993-10-04,core,default,draft/default,,LEB,en,1,1,w1: common x11 + rare x1 + uncommon x3,common;rare;uncommon,https://mtgjson.com/api/v5/LEB.json
yes,paper,LEB,Limited Edition Beta,1993-10-04,core,starter,starter/tournament,Limited Edition Beta Starter Deck,LEB,en,1,1,w1: commonWithDuplicates x45 + rare x2 + uncommonWithDuplicates x13,commonWithDuplicates;rare;uncommonWithDuplicates,https://mtgjson.com/api/v5/LEB.json
yes,paper,2ED,Unlimited Edition,1993-12-01,core,default,draft/default,,2ED,en,1,1,w1: common x11 + rare x1 + uncommon x3,common;rare;uncommon,https://mtgjson.com/api/v5/2ED.json
yes,paper,2ED,Unlimited Edition,1993-12-01,core,starter,starter/tournament,Unlimited Edition Starter Deck,2ED,en,1,1,w1: commonWithDuplicates x45 + rare x2 + uncommonWithDuplicates x13,commonWithDuplicates;rare;uncommonWithDuplicates,https://mtgjson.com/api/v5/2ED.json
yes,paper,ARN,Arabian Nights,1993-12-17,expansion,default,draft/default,,ARN,en,1,1,w1: common x6 + uncommon x2,common;uncommon,https://mtgjson.com/api/v5/ARN.json
yes,paper,ATQ,Antiquities,1994-03-04,expansion,default,draft/default,,ATQ,en,1,1,w1: common x6 + uncommon x2,common;uncommon,https://mtgjson.com/api/v5/ATQ.json
yes,paper,3ED,Revised Edition,1994-04-11,core,default,draft/default,,3ED,de;en;fr;it,1,1,w1: common x11 + rare x1 + uncommon x3,common;rare;uncommon,https://mtgjson.com/api/v5/3ED.json
yes,paper,3ED,Revised Edition,1994-04-11,core,starter,starter/tournament,Revised Edition Starter Deck,3ED,de;en;fr;it,1,1,w1: commonWithDuplicates x45 + rare x2 + uncommonWithDuplicates x13,commonWithDuplicates;rare;uncommonWithDuplicates,https://mtgjson.com/api/v5/3ED.json
